Designator,Mid X,Mid Y,Layer,Rotation
C1, 4.83,85.73,Bottom,0.0
C2, 4.83,80.26,Bottom,0.0
C3, 9.40,82.30,Bottom,270.0
C4,13.59,28.45,Bottom,270.0
C5, 2.54,39.50,Bottom,180.0
C6,17.91,43.56,Bottom,180.0
C7,10.79,31.50,Bottom,0.0
C8, 3.61,92.00,Bottom,270.0
C10, 1.65,52.07,Bottom,270.0
C11,17.78,46.99,Bottom,180.0
C12,17.27,65.41,Bottom,180.0
C13, 1.65,55.50,Bottom,90.0
C14, 5.21,62.23,Bottom,90.0
D1,10.16,96.52,Bottom,0.0
IC1,17.25,28.47,Bottom,90.0
IC2,14.99,83.06,Bottom,90.0
IC3,10.16,37.21,Bottom,270.0
IC4, 7.87,55.12,Bottom,180.0
L1, 1.65,60.58,Bottom,270.0
Q1,16.76,56.13,Bottom,90.0
R1, 9.91,28.58,Bottom,270.0
R2,10.03,45.09,Bottom,180.0
R3,17.91,32.38,Bottom,0.0
R4,17.91,36.07,Bottom,0.0
R5, 4.24,32.51,Bottom,180.0
R6, 2.03,28.58,Bottom,90.0
R7, 5.91,28.58,Bottom,270.0
R8,17.91,40.01,Bottom,180.0
R9, 2.54,36.07,Bottom,180.0
R10, 9.14, 2.72,Bottom,90.0
R11, 9.14, 6.35,Bottom,270.0
R12,11.05,61.72,Bottom,180.0
R13,12.07, 6.35,Bottom,270.0
R14,18.54, 6.35,Bottom,90.0
R15,10.16,13.72,Bottom,180.0
R16, 2.54,65.41,Bottom,180.0
T1, 5.71, 6.60,Bottom,90.0
T2,15.24, 6.60,Bottom,180.0
